loss_of_balkans_desc;The Balkans have been lost to other imperial powers. However, instead of dwelling on our status of the sick man of europe, we should now work to embrace the arabs who now make up the majority of our remaining territories;;;;;;;;;;;;;x;;;;;;;;;;;
DR_NAME;Dominions Released;;;;;;;;;;;;;x;;;;;;;;;;;
DR_DESC;Same as Grand Campaign except all dominions of UK are released at game start;;;;;;;;;;;;;x;;;;;;;;;;;
EVTNAME123412351;Sphere Fixes for Dominions;;;;;;;;;;;;;x;;;;;;;;;;;
EVTDESC123412351;This event adds all dominions into the British Sphere at game start;;;;;;;;;;;;;x;;;;;;;;;;;
EVTOPTA123412351;The Sun never Sets;;;;;;;;;;;;;x;;;;;;;;;;;
embrace_slovene_minority_title;Embrace the Slovene Minority;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;
embrace_slovene_minority_desc;We shall embrace our Slovene citizens, and elevate them to the status shared by that of the Hungarians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;
embrace_croat_minority_title;Embrace the Croat Minority;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;
embrace_croat_minority_desc;We shall embrace our Croat citizens, and elevate them to the status shared by that of the Hungarians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;
integrate_bosnia_title;Integrate Bosnia;;;;;;;;;;;;;x;;;;;;;;;;;
integrate_bosnia_desc;The Ottomans are seen as the sick man of Europe, we have proven this by taking Bosnia and the rest of Europe now are happy to declare us the true rulers of the region;;;;;;;;;;;;;x;;;;;;;;;;;
integrate_luxemburg_title;Integartion of Luxemburg;;;;;;;;;;;;;x;;;;;;;;;;;
integrate_luxemburg_desc;Luxemburg is a crossroads of german and french peoples and has been claimed by many neighbours. Since we have de facto control over the region we can claim it to be a core part of our country!;;;;;;;;;;;;;x;;;;;;;;;;;
integrate_picardy_title;Integartion of Picardy;;;;;;;;;;;;;x;;;;;;;;;;;
integrate_picardy_desc;A small but notable minority of Flemish people have been living in Picardy and have not been represented by France. We can now fix this and give these people the government they deserve!;;;;;;;;;;;;;x;;;;;;;;;;;
prioritise_the_flemish_title;A Flemish Future?;;;;;;;;;;;;;x;;;;;;;;;;;
prioritise_the_flemish_desc;The Flemish and Walloons evenly divide our nation. We have decided to shift our culture to the Flemish people in order to reconcile the Dutch people in our country;;;;;;;;;;;;;x;;;;;;;;;;;
integrate_holstein_title;Integration of Holstein;;;;;;;;;;;;;x;;;;;;;;;;;
integrate_holstein_desc;Holstein has long been in Denmark's Sphere of Influence. It's now time to fully incorporate them and their people into out nation;;;;;;;;;;;;;x;;;;;;;;;;;
